hotel_name,source_url,official_url,hotel_class,minprice,maxprice,address,lat,lon,number_of_room,number_of_floor,year_property_opened,most_recent_renovation
Kawaii Home,https://www.tripadvisor.com/Hotel_Review-g293925-d23359392-Reviews-Kawaii_Home-Ho_Chi_Minh_City.html,,,,,"27B Nguyen Đinh Chieu, 27b/7 Nguyen đinh Chieu Đa Kao Quan 1 27b/7, Ho Chi Minh City Vietnam",10.787942,106.69939,,,,
Asian Ruby Central Point Hotel 2,https://www.tripadvisor.com/Hotel_Review-g293925-d21404781-Reviews-Asian_Ruby_Central_Point_Hotel_2-Ho_Chi_Minh_City.html,,,,,"51 Thu Khoa Huan, Ho Chi Minh City 700000 Vietnam",10.774359,106.6966,,,,
The Fuji Landmark 2,https://www.tripadvisor.com/Hotel_Review-g293925-d24799593-Reviews-The_Fuji_Landmark_2-Ho_Chi_Minh_City.html,,3.0 of 5 stars,,,"Alley 40, No. 40/8 Pham Viet Chanh Ward 19, Ho Chi Minh City 700000 Vietnam",10.789819,106.71022,,,,
Saigon Free Swimming Pool,https://www.tripadvisor.com/Hotel_Review-g293925-d21301876-Reviews-Saigon_Free_Swimming_Pool-Ho_Chi_Minh_City.html,,,,,"91 Nguyen Huu Canh The Manor 1, AW404, Ho Chi Minh City Vietnam",10.793517,106.71781,,,,
Private Room In Cozy Apartment In District 2,https://www.tripadvisor.com/Hotel_Review-g293925-d20878739-Reviews-Private_Room_In_Cozy_Apartment_In_District_2-Ho_Chi_Minh_City.html,,,,,"Nguyen Van Huong, Ho Chi Minh City Vietnam",10.810618,106.7308,,,,
OYO 1102 Tra My Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d21135915-Reviews-OYO_1102_Tra_My_Hotel-Ho_Chi_Minh_City.html,,,,,"41 Ly Chinh Thang, Phuong 08, Quan 3, Ho Chi Minh City 700000 Vietnam",null,null,,,,
BnB Hostel,https://www.tripadvisor.com/Hotel_Review-g293925-d20787466-Reviews-BnB_Hostel-Ho_Chi_Minh_City.html,,,,,"191 Bui Vien Tang 2 3, Ho Chi Minh City Vietnam",10.765781,106.691025,,,,
Kiko Pictures House,https://www.tripadvisor.com/Hotel_Review-g293925-d24799547-Reviews-Kiko_Pictures_House-Ho_Chi_Minh_City.html,,3.0 of 5 stars,,,"5B1 Thai Van Lung Phuong Ben Nghe, Quan 1, Ho Chi Minh City Vietnam",10.7795,106.70485,,,,
Truong Son Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d19707258-Reviews-Truong_Son_Hotel-Ho_Chi_Minh_City.html,,,,,"199 Cong Hoa, Phuong 13, Ho Chi Minh City Vietnam",null,null,,,,
Venice 1 Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d21404492-Reviews-Venice_1_Hotel-Ho_Chi_Minh_City.html,,2.0 of 5 stars,,,"74 Dường Số 7 Khu Dân Cư Trung Sơn, Ho Chi Minh City 700000 Vietnam",10.737267,106.69012,,,,
CityHouse - Kim Nguyen Apartment & Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d21507550-Reviews-CityHouse_Kim_Nguyen_Apartment_Hotel-Ho_Chi_Minh_City.html,,,,,"3 Truong Quoc Dung, Ho Chi Minh City Vietnam",10.799058,106.67299,,,,
